# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
guang gao 	廣告	c=1 d=0.0303487 t=2795
gui fan 	規範	c=1 d=1 t=814
guo cheng 	過程	c=3 d=0.442639 t=2795
guo de 	過得	c=0 d=0.1 t=2587
guo duo 	過多	c=1 d=1 t=2556
guo qu 	過去	c=0 d=0.1 t=2566
guo wai 	國外	c=1 d=1 t=2064
guo xue 	國學	c=1 d=0.0824965 t=2795
ha 	哈	c=0 d=0.1 t=753
ha ha 	哈哈	c=6 d=0.577776 t=2795
ha ha ha 	哈哈哈	c=1 d=1 t=1226
ha ha ha ha 	哈哈哈哈	c=1 d=1 t=2775
ha shi 	哈市	c=0 d=0.1 t=2377
ha shi nong hu 	哈市農戶	c=1 d=1 t=2378
hai 	還	c=2 d=0.0717916 t=2795
hai bu cuo 	還不錯	c=1 d=0.031273 t=2795
hai de 	害得	c=0 d=0.1 t=2589
hai de wo 	害得我	c=1 d=1 t=2590
hai hei ping 	還黑屏	c=1 d=1 t=2249
hai ke yi 	還可以	c=1 d=1 t=2707
hai mei 	還沒	c=2 d=0.214748 t=2795
hai mei kai shi 	還沒開始	c=2 d=0.227757 t=2795
hai shao 	還少	c=1 d=1 t=2575
hai shi 	還是	c=13 d=1.62578 t=2795
hai xing 	還行	c=0 d=0.0860574 t=2795
hai yao 	還要	c=1 d=0.0539337 t=2795
hai zai 	還在	c=1 d=0.0306538 t=2795
han shu 	函數	c=7 d=0.150471 t=2795
han zi 	漢字	c=1 d=1 t=1301
hang 	行	c=1 d=0.514783 t=2582
hang lie 	行列	c=1 d=1 t=2479
hao 	好	c=3 d=0.2334 t=2795
hao 	號	c=1 d=0.199888 t=2795
hao de 	好的	c=0 d=0.0786628 t=2795
hao duo 	好多	c=2 d=0.261971 t=2795
hao gong zuo 	好工作	c=1 d=1 t=2345
hao hao 	好好	c=3 d=0.322173 t=2795
hao hao kan shu 	好好看書	c=1 d=1 t=2659
hao hao xue xi 	好好學習	c=0 d=0.00343896 t=2795
hao jian dan 	好簡單	c=1 d=1 t=1873
hao kan 	好看	c=0 d=0.1 t=1188
